The Devil in HML's Details: High Minus Low Devil Factor,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file contains monthly self-financing returns of equity High Minus Low Devil (HML Devil) factors using the Book to Market definition of Asness and Frazzini (2013).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The portfolios are an updated and extended version of the equity portfolios used in Asness and Frazzini (2013), ""The Devil in HML‛s Details,"" Journal of Portfolio Management, 39, 49-68.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HML Devil Factors are long high value stocks and short low value stocks, based on book to market values, using the current total market value of equity .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We construct HML Devil factors for U.S. equities and 23 international equity markets, as well as multiple aggregates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not all available data may be displayed below based on the user's selection. Please see www.aqr.com for the full selection of available data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The portfolio construction is based on Asness and Frazzini (2013), however there can be differences in data sources and methodology. See the Data Sources and Definition tabs for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is updated as it becomes available. AQR reconstructs the full history each time the portfolios are updated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data updated and maintained by AQR, www.aqr.com. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright ©2013 Cliff Asness and Andrea Frazzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see disclosures on the Disclosures tab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EQUITIES,,,,,,,,,,,,,,,,,,,,,,,,Aggregate Equity Portfolios,,,,
DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0198557509772,,,,,
08/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0523514868609,,,,,
09/30/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0233491305501,,,,,
10/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00825290745545,,,,,
11/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00202531611231,,,,,
12/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0218206425858,,,,,
01/31/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0404056052839,,,,,
02/28/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0243950756231,,,,,
03/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.000307527300012,,,,,
04/30/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.00530718851834,,,,,
05/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.001884176957,,,,,
06/30/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0123420579785,,,,,
07/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.00954115826025,,,,,
08/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0237494752783,,,,,
09/30/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0120766975235,,,,,
10/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0345097490024,,,,,
11/30/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0171421548677,,,,,
12/31/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.022487139369,,,,,
01/31/1928,,,,,,,,,,,,,,,,,,,,,,,,-0.00860309303412,,,,,
